FIPS_Code,State,County,Year,Unemployment_rate_2023,Poverty_Rate_Pct,Median_Income,Population,Education_Bachelor_Pct,Low_Access_Pct,Food_Insecurity_Rate,Child_Food_Insecurity_Rate,Food_Insecure_Persons,Snap_Threshold,Pct_FI_Below_Snap,Border_State,Is_Border_County
48141,TX,"El Paso County, TX",2022,4.4,18.5,53441,869880,25.36119059771263,20.31289100646973,0.194,0.243,167200,1.65,0.733,Border State,Border County
48141,TX,"El Paso County, TX",2023,4.4,18.5,53441,869880,25.36119059771263,20.31289100646973,0.201,0.221,174430,1.65,0.755,Border State,Border County
48215,TX,"Hidalgo County, TX",2019,6.1000000000000005,26.900000000000002,48825,898471,20.32666694303464,34.72991561889648,0.18,0.264,153810,1.65,0.939,Border State,Border County
48215,TX,"Hidalgo County, TX",2020,6.1000000000000005,26.900000000000002,48825,898471,20.32666694303464,34.72991561889648,0.191,0.297,164720,1.65,0.899,Border State,Border County
48215,TX,"Hidalgo County, TX",2021,6.1000000000000005,26.900000000000002,48825,898471,20.32666694303464,34.72991561889648,0.19,0.24,164390,1.65,0.808,Border State,Border County
48215,TX,"Hidalgo County, TX",2022,6.1000000000000005,26.900000000000002,48825,898471,20.32666694303464,34.72991561889648,0.229,0.271,199990,1.65,0.819,Border State,Border County
48215,TX,"Hidalgo County, TX",2023,6.1000000000000005,26.900000000000002,48825,898471,20.32666694303464,34.72991561889648,0.236,0.252,208140,1.65,0.873,Border State,Border County
48229,TX,"Hudspeth County, TX",2019,3.8000000000000003,32,39582,3451,12.385740402193784,99.62373352050781,0.173,0.29,770,1.65,0.889,Border State,Border County
48229,TX,"Hudspeth County, TX",2020,3.8000000000000003,32,39582,3451,12.385740402193784,99.62373352050781,0.181,0.274,850,1.65,0.779,Border State,Border County
48229,TX,"Hudspeth County, TX",2021,3.8000000000000003,32,39582,3451,12.385740402193784,99.62373352050781,0.223,0.264,740,1.65,0.616,Border State,Border County
48229,TX,"Hudspeth County, TX",2022,3.8000000000000003,32,39582,3451,12.385740402193784,99.62373352050781,0.248,0.301,830,1.65,0.697,Border State,Border County
48229,TX,"Hudspeth County, TX",2023,3.8000000000000003,32,39582,3451,12.385740402193784,99.62373352050781,0.232,0.276,770,1.65,0.78,Border State,Border County
48243,TX,"Jeff Davis County, TX",2019,3.2,12.8,58285,1856,30.434782608695656,30.08721160888672,0.1,0.176,220,1.65,0.794,Border State,Border County
48243,TX,"Jeff Davis County, TX",2020,3.2,12.8,58285,1856,30.434782608695656,30.08721160888672,0.157,0.314,350,1.65,0.825,Border State,Border County
48243,TX,"Jeff Davis County, TX",2021,3.2,12.8,58285,1856,30.434782608695656,30.08721160888672,0.155,0.248,310,1.65,0.873,Border State,Border County
48243,TX,"Jeff Davis County, TX",2022,3.2,12.8,58285,1856,30.434782608695656,30.08721160888672,0.202,0.318,400,1.65,0.664,Border State,Border County
48243,TX,"Jeff Davis County, TX",2023,3.2,12.8,58285,1856,30.434782608695656,30.08721160888672,0.242,0.288,420,1.65,0.679,Border State,Border County
48271,TX,"Kinney County, TX",2019,4.6000000000000005,21,52609,3148,19.521756174049393,46.52545547485352,0.179,0.301,660,1.65,0.848,Border State,Border County
48271,TX,"Kinney County, TX",2020,4.6000000000000005,21,52609,3148,19.521756174049393,46.52545547485352,0.162,0.289,600,1.65,0.811,Border State,Border County
48271,TX,"Kinney County, TX",2021,4.6000000000000005,21,52609,3148,19.521756174049393,46.52545547485352,0.193,0.3,620,1.65,0.773,Border State,Border County
48271,TX,"Kinney County, TX",2022,4.6000000000000005,21,52609,3148,19.521756174049393,46.52545547485352,0.222,0.333,700,1.65,0.72,Border State,Border County
48271,TX,"Kinney County, TX",2023,4.6000000000000005,21,52609,3148,19.521756174049393,46.52545547485352,0.204,NA,640,1.65,0.663,Border State,Border County
48323,TX,"Maverick County, TX",2019,7.5,22.8,43407,57762,15.327175673244167,30.79840660095215,0.18,0.264,10500,1.65,0.956,Border State,Border County
48323,TX,"Maverick County, TX",2020,7.5,22.8,43407,57762,15.327175673244167,30.79840660095215,0.201,0.316,11660,1.65,0.894,Border State,Border County
48323,TX,"Maverick County, TX",2021,7.5,22.8,43407,57762,15.327175673244167,30.79840660095215,0.195,0.247,11270,1.65,0.771,Border State,Border County
48323,TX,"Maverick County, TX",2022,7.5,22.8,43407,57762,15.327175673244167,30.79840660095215,0.223,0.263,12900,1.65,0.814,Border State,Border County
48323,TX,"Maverick County, TX",2023,7.5,22.8,43407,57762,15.327175673244167,30.79840660095215,0.227,0.235,13120,1.65,0.864,Border State,Border County
48377,TX,"Presidio County, TX",2019,6.300000000000001,22.900000000000002,43666,5795,20.197175592859047,24.43465423583984,0.242,0.347,1690,1.65,1,Border State,Border County
48377,TX,"Presidio County, TX",2020,6.300000000000001,22.900000000000002,43666,5795,20.197175592859047,24.43465423583984,0.287,0.441,1950,1.65,0.998,Border State,Border County
48377,TX,"Presidio County, TX",2021,6.300000000000001,22.900000000000002,43666,5795,20.197175592859047,24.43465423583984,0.245,0.31,1550,1.65,0.942,Border State,Border County
48377,TX,"Presidio County, TX",2022,6.300000000000001,22.900000000000002,43666,5795,20.197175592859047,24.43465423583984,0.276,0.322,1700,1.65,0.839,Border State,Border County
48377,TX,"Presidio County, TX",2023,6.300000000000001,22.900000000000002,43666,5795,20.197175592859047,24.43465423583984,0.289,0.29,1740,1.65,0.867,Border State,Border County
48427,TX,"Starr County, TX",2019,9.3,28.8,35758,65934,13.2970175677516,33.8889045715332,0.211,0.316,13550,1.65,1,Border State,Border County
48427,TX,"Starr County, TX",2020,9.3,28.8,35758,65934,13.2970175677516,33.8889045715332,0.236,0.373,15100,1.65,0.964,Border State,Border County
48427,TX,"Starr County, TX",2021,9.3,28.8,35758,65934,13.2970175677516,33.8889045715332,0.237,0.31,15550,1.65,0.911,Border State,Border County
48427,TX,"Starr County, TX",2022,9.3,28.8,35758,65934,13.2970175677516,33.8889045715332,0.272,0.326,17890,1.65,0.941,Border State,Border County
48427,TX,"Starr County, TX",2023,9.3,28.8,35758,65934,13.2970175677516,33.8889045715332,0.279,0.306,18350,1.65,1,Border State,Border County
48443,TX,"Terrell County, TX",2019,3.5,18.6,47969,687,32.340425531914896,100,0.099,0.187,90,1.65,0.929,Border State,Border County
48443,TX,"Terrell County, TX",2020,3.5,18.6,47969,687,32.340425531914896,100,0.091,0.172,80,1.65,1,Border State,Border County
48443,TX,"Terrell County, TX",2021,3.5,18.6,47969,687,32.340425531914896,100,0.1,0.168,100,1.65,1,Border State,Border County
48443,TX,"Terrell County, TX",2022,3.5,18.6,47969,687,32.340425531914896,100,0.158,0.237,140,1.65,0.292,Border State,Border County
48443,TX,"Terrell County, TX",2023,3.5,18.6,47969,687,32.340425531914896,100,0.164,NA,140,1.65,0.388,Border State,Border County
48465,TX,"Val Verde County, TX",2019,5.5,20.200000000000003,52593,47720,21.332229466349308,50.87202835083008,0.148,0.207,7230,1.65,0.914,Border State,Border County
